17:40:47,[]
17:40:48,[0, 0, 1, '0']
17:43:07,['26.778153', '80.882586', 1, 9]
17:43:08,['26.778154', '80.882586', 1, 9]
17:43:09,['26.778154', '80.882586', 1, 9]
17:43:10,['26.778154', '80.882586', 1, 9]
17:43:11,['26.778154', '80.882586', 1, 9]
17:43:13,['26.778154', '80.882586', 1, 9]
17:43:14,['26.778154', '80.882586', 1, 9]
17:43:15,['26.778154', '80.882586', 1, 9]
17:43:16,['26.778154', '80.882586', 1, 9]
17:43:17,['26.778154', '80.882586', 1, 9]
17:43:18,['26.778155', '80.882586', 1, 9]
17:43:19,['26.778155', '80.882586', 1, 9]
17:43:20,['26.778155', '80.882586', 1, 9]
17:43:21,['26.778155', '80.882586', 1, 9]
17:43:22,['26.778155', '80.882585', 1, 9]
17:43:23,['26.778155', '80.882585', 1, 9]
17:43:24,['26.778156', '80.882585', 1, 9]
17:43:26,['26.778156', '80.882585', 1, 9]
17:43:27,['26.778156', '80.882585', 1, 9]
17:43:28,['26.778156', '80.882584', 1, 9]
17:43:29,['26.778157', '80.882583', 1, 9]
17:43:30,['26.778157', '80.882583', 1, 9]
17:43:31,['26.778157', '80.882583', 1, 9]
17:43:32,['26.778157', '80.882583', 1, 9]
17:43:33,['26.778157', '80.882585', 1, 9]
17:43:34,['26.778157', '80.882585', 1, 9]
17:43:35,['26.778157', '80.882585', 1, 9]
17:43:36,['26.778157', '80.882585', 1, 9]
17:43:38,['26.778157', '80.882589', 1, 9]
17:43:39,['26.778157', '80.882591', 1, 9]
17:43:40,['26.778157', '80.882591', 1, 9]
17:43:41,['26.778157', '80.882593', 1, 9]
17:43:42,['26.778157', '80.882593', 1, 9]
17:43:43,['26.778157', '80.882593', 1, 9]
17:43:44,['26.778157', '80.882594', 1, 9]
17:43:45,['26.778158', '80.882595', 1, 9]
17:43:46,['26.778158', '80.882595', 1, 9]
17:43:47,['26.778158', '80.882595', 1, 9]
17:43:48,['26.778158', '80.882593', 1, 9]
17:43:50,['26.778159', '80.882591', 1, 9]
17:43:51,['26.778160', '80.882590', 1, 9]
17:43:52,['26.778160', '80.882589', 1, 9]
17:43:53,['26.778160', '80.882588', 1, 9]
17:43:54,['26.778160', '80.882588', 1, 9]
17:43:56,['26.778160', '80.882588', 1, 9]
17:43:57,['26.778161', '80.882587', 1, 9]
17:43:58,['26.778161', '80.882587', 1, 9]
17:43:59,['26.778161', '80.882587', 1, 9]
17:44:00,['26.778161', '80.882587', 1, 9]
17:44:01,['26.778161', '80.882587', 1, 9]
17:44:02,['26.778161', '80.882587', 1, 9]
